# energy,localization
-1.999999999999999778e+00,-1.000000000000000000e+00
-1.996053456856544228e+00,-9.119543704721558841e-01
-1.996053456856542896e+00,-9.119543704721593258e-01
-1.984229402628956196e+00,-9.119543704721589927e-01
-1.984229402628955752e+00,-9.119543704721597699e-01
-1.964574501457377664e+00,-9.119543704721591038e-01
-1.964574501457377220e+00,-9.119543704721593258e-01
-1.937166322257262596e+00,-9.119543704721595478e-01
-1.937166322257262152e+00,-9.119543704721593258e-01
-1.902113032590307062e+00,-9.119543704721591038e-01
-1.902113032590306840e+00,-9.119543704721595478e-01
-1.859552971776502917e+00,-9.119543704721593258e-01
-1.859552971776502472e+00,-9.119543704721591038e-01
-1.809654104932038932e+00,-9.119543704721593258e-01
-1.809654104932038932e+00,-9.119543704721593258e-01
-1.752613360087727168e+00,-9.119543704721593258e-01
-1.752613360087727168e+00,-9.119543704721593258e-01
-1.688655851004030817e+00,-9.119543704721593258e-01
-1.688655851004030373e+00,-9.119543704721593258e-01
-1.618033988749895347e+00,-9.119543704721593258e-01
-1.618033988749895347e+00,-9.119543704721593258e-01
-1.541026485551578951e+00,-9.119543704721593258e-01
-1.541026485551578284e+00,-9.119543704721593258e-01
-1.457937254842823105e+00,-9.119543704721593258e-01
-1.457937254842822661e+00,-9.119543704721593258e-01
-1.369094211857377230e+00,-9.119543704721593258e-01
-1.369094211857376564e+00,-9.119543704721591038e-01
-1.274847979497379491e+00,-9.119543704721593258e-01
-1.274847979497379269e+00,-9.119543704721591038e-01
-1.175570504584946496e+00,-9.119543704721593258e-01
-1.175570504584946496e+00,-9.119543704721593258e-01
-1.071653589957993535e+00,-9.119543704721593258e-01
-1.071653589957993091e+00,-9.119543704721593258e-01
-9.635073482034306469e-01,-9.119543704721593258e-01
-9.635073482034306469e-01,-9.119543704721593258e-01
-8.515585831301455411e-01,-9.119543704721593258e-01
-8.515585831301454300e-01,-9.119543704721591038e-01
-7.362491053693559495e-01,-9.119543704721593258e-01
-7.362491053693558385e-01,-9.119543704721593258e-01
-6.180339887498951246e-01,-9.119543704721593258e-01
-6.180339887498949025e-01,-9.119543704721593258e-01
-4.973797743297102003e-01,-9.119543704721593258e-01
-4.973797743297095897e-01,-9.119543704721593258e-01
-3.747626291714498681e-01,-9.119543704721591038e-01
-3.747626291714485913e-01,-9.119543704721591038e-01
-2.506664671286086832e-01,-9.119543704721593258e-01
-2.506664671286084611e-01,-9.119543704721591038e-01
-1.255810390586268033e-01,-9.119543704721593258e-01
-1.255810390586266367e-01,-9.119543704721591038e-01
-8.307397698768974004e-17,-8.494850021680091512e-01
2.547601960955818448e-16,-8.494850021680092622e-01
1.255810390586261371e-01,-9.119543704721591038e-01
1.255810390586266923e-01,-9.119543704721593258e-01
2.506664671286081836e-01,-9.119543704721591038e-01
2.506664671286086832e-01,-9.119543704721593258e-01
3.747626291714486468e-01,-9.119543704721593258e-01
3.747626291714490909e-01,-9.119543704721593258e-01
4.973797743297095342e-01,-9.119543704721593258e-01
4.973797743297097007e-01,-9.119543704721593258e-01
6.180339887498944584e-01,-9.119543704721593258e-01
6.180339887498951246e-01,-9.119543704721593258e-01
7.362491053693553944e-01,-9.119543704721593258e-01
7.362491053693556164e-01,-9.119543704721593258e-01
8.515585831301446529e-01,-9.119543704721591038e-01
8.515585831301449860e-01,-9.119543704721593258e-01
9.635073482034303138e-01,-9.119543704721591038e-01
9.635073482034305359e-01,-9.119543704721593258e-01
1.071653589957993313e+00,-9.119543704721593258e-01
1.071653589957993313e+00,-9.119543704721593258e-01
1.175570504584946052e+00,-9.119543704721591038e-01
1.175570504584947162e+00,-9.119543704721591038e-01
1.274847979497379047e+00,-9.119543704721593258e-01
1.274847979497380601e+00,-9.119543704721593258e-01
1.369094211857377230e+00,-9.119543704721591038e-01
1.369094211857377674e+00,-9.119543704721591038e-01
1.457937254842822661e+00,-9.119543704721593258e-01
1.457937254842822883e+00,-9.119543704721593258e-01
1.541026485551578284e+00,-9.119543704721593258e-01
1.541026485551578284e+00,-9.119543704721593258e-01
1.618033988749894236e+00,-9.119543704721593258e-01
1.618033988749895347e+00,-9.119543704721593258e-01
1.688655851004029929e+00,-9.119543704721593258e-01
1.688655851004031039e+00,-9.119543704721593258e-01
